title,journal,year,cites,type,doi,pmid,pmcid,isOA,facets,key,Titin domain architecture (Ig/Fn3),Titin elasticity & PEVK spring,Z-disc / Z-band,M-band / M-line,Thick filament / myosin,Thin filament / actin-tropomyosin,Sarcomere lattice & mechanics,Cryo-EM / structural biology,Titin signaling / kinase / N2B-N2A,Cardiac disease / cardiomyopathy,Skeletal muscle disease / myopathy,Phosphorylation / PTM,Isoforms & splicing
"Titin (TTN): from molecule to modifications, mechanics, and medical significance.",Cardiovascular research,2022,105,,10.1093/cvr/cvab328,34662387.0,PMC9648829,Y,"['titin_general', 'titin_mechanics']",10.1093/cvr/cvab328,False,True,False,False,False,False,False,False,False,True,True,True,True
Antisense-mediated exon skipping: a therapeutic strategy for titin-based dilated cardiomyopathy.,EMBO molecular medicine,2015,103,,10.15252/emmm.201505047,25759365.0,PMC4492817,Y,['titin_general'],10.15252/emmm.201505047,False,False,False,False,False,False,False,False,False,True,True,False,False
Experimentally Increasing the Compliance of Titin Through RNA Binding Motif-20 (RBM20) Inhibition Improves Diastolic Function In a Mouse Model of Heart Failure With Preserved Ejection Fraction.,Circulation,2016,103,,10.1161/circulationaha.116.023003,27630136.0,PMC5069184,N,['titin_general'],10.1161/circulationaha.116.023003,False,False,False,False,False,False,False,False,True,True,False,False,True
Dynamics of equilibrium folding and unfolding transitions of titin immunoglobulin domain under constant forces.,Journal of the American Chemical Society,2015,102,,10.1021/ja5119368,25726700.0,PMC4446711,N,"['titin_general', 'titin_structure_domain']",10.1021/ja5119368,True,False,False,False,False,False,False,False,False,False,False,False,False
Titin as a force-generating muscle protein under regulatory control.,"Journal of applied physiology (Bethesda, Md. : 1985)",2019,97,,10.1152/japplphysiol.00865.2018,30521425.0,,N,['titin_general'],10.1152/japplphysiol.00865.2018,True,False,False,False,False,True,False,False,True,False,False,True,False
A mutation in the glutamate-rich region of RNA-binding motif protein 20 causes dilated cardiomyopathy through missplicing of titin and impaired Frank-Starling mechanism.,Cardiovascular research,2016,91,,10.1093/cvr/cvw192,27496873.0,,N,['titin_general'],10.1093/cvr/cvw192,False,False,False,False,False,False,False,False,True,True,True,False,True
Phenotype and Clinical Outcomes of Titin Cardiomyopathy.,Journal of the American College of Cardiology,2017,89,,10.1016/j.jacc.2017.08.063,29073955.0,PMC5666113,Y,['titin_general'],10.1016/j.jacc.2017.08.063,False,False,False,False,False,False,False,False,False,True,True,False,False
An internal promoter underlies the difference in disease severity between N- and C-terminal truncation mutations of Titin in zebrafish.,eLife,2015,89,,10.7554/elife.09406,26473617.0,PMC4720518,Y,['titin_general'],10.7554/elife.09406,False,False,False,False,False,False,False,False,False,True,True,False,False
Calcium increases titin N2A binding to F-actin and regulated thin filaments.,Scientific reports,2018,88,,10.1038/s41598-018-32952-8,30275509.0,PMC6167357,Y,['titin_general'],10.1038/s41598-018-32952-8,False,True,False,False,False,True,False,False,True,False,True,False,False
A Review of the Giant Protein Titin in Clinical Molecular Diagnostics of Cardiomyopathies.,Frontiers in cardiovascular medicine,2016,88,,10.3389/fcvm.2016.00021,27493940.0,PMC4954824,Y,['titin_general'],10.3389/fcvm.2016.00021,False,False,True,True,False,False,False,False,True,True,True,False,True
Prevalence of Titin Truncating Variants in General Population.,PloS one,2015,88,,10.1371/journal.pone.0145284,26701604.0,PMC4689403,Y,['titin_general'],10.1371/journal.pone.0145284,False,False,False,False,False,False,False,False,False,True,True,False,True
Folding pathway of an Ig domain is conserved on and off the ribosome.,Proceedings of the National Academy of Sciences of the United States of America,2018,81,,10.1073/pnas.1810523115,30413621.0,PMC6275497,Y,['titin_cryoem'],10.1073/pnas.1810523115,True,False,False,False,False,False,False,True,False,False,False,False,False
The M-band: The underestimated part of the sarcomere.,Biochimica et biophysica acta. Molecular cell research,2020,81,,10.1016/j.bbamcr.2019.02.003,30738787.0,PMC7023976,Y,['mband'],10.1016/j.bbamcr.2019.02.003,False,False,True,True,False,False,False,False,False,False,False,False,False
The giant protein titin regulates the length of the striated muscle thick filament.,Nature communications,2017,80,,10.1038/s41467-017-01144-9,29051486.0,PMC5648799,Y,"['thick_filament', 'titin_general']",10.1038/s41467-017-01144-9,False,False,False,False,True,False,False,False,False,True,True,False,False
Downsizing the molecular spring of the giant protein titin reveals that skeletal muscle titin determines passive stiffness and drives longitudinal hypertrophy.,eLife,2018,78,,10.7554/elife.40532,30565562.0,PMC6300359,Y,"['titin_general', 'titin_mechanics']",10.7554/elife.40532,False,False,False,False,False,True,True,False,False,False,False,False,False
Disulfide isomerization reactions in titin immunoglobulin domains enable a mode of protein elasticity.,Nature communications,2018,77,,10.1038/s41467-017-02528-7,29330363.0,PMC5766482,Y,"['titin_general', 'titin_mechanics']",10.1038/s41467-017-02528-7,True,False,False,False,False,False,False,False,False,False,False,False,False
Structure and Function of Filamin C in the Muscle Z-Disc.,International journal of molecular sciences,2020,77,,10.3390/ijms21082696,32295012.0,PMC7216277,Y,['zdisc'],10.3390/ijms21082696,False,False,True,False,False,True,False,False,True,True,True,True,False
Role of Titin Missense Variants in Dilated Cardiomyopathy.,Journal of the American Heart Association,2015,74,,10.1161/jaha.115.002645,26567375.0,PMC4845231,Y,['titin_general'],10.1161/jaha.115.002645,False,False,False,False,False,False,False,False,True,True,True,False,True
Residual Force Enhancement Following Eccentric Contractions: A New Mechanism Involving Titin.,"Physiology (Bethesda, Md.)",2016,74,,10.1152/physiol.00049.2014,27252165.0,,N,['titin_general'],10.1152/physiol.00049.2014,False,False,False,False,False,False,False,False,False,False,False,False,False
Physiological Mechanisms of Eccentric Contraction and Its Applications: A Role for the Giant Titin Protein.,Frontiers in physiology,2017,74,,10.3389/fphys.2017.00070,28232805.0,PMC5299520,Y,['titin_general'],10.3389/fphys.2017.00070,False,True,False,False,False,True,False,False,False,False,False,False,False
Diabetes-Induced Cardiomyocyte Passive Stiffening Is Caused by Impaired Insulin-Dependent Titin Modification and Can Be Modulated by Neuregulin-1.,Circulation research,2018,73,,10.1161/circresaha.117.312166,29760016.0,,N,['titin_general'],10.1161/circresaha.117.312166,False,False,False,False,False,False,True,False,False,True,False,True,False
Titin-Based Nanoparticle Tension Sensors Map High-Magnitude Integrin Forces within Focal Adhesions.,Nano letters,2016,73,,10.1021/acs.nanolett.5b03888,26598972.0,PMC5592801,N,['titin_general'],10.1021/acs.nanolett.5b03888,False,False,False,False,False,False,False,False,False,False,False,False,False
"Titin, a Central Mediator for Hypertrophic Signaling, Exercise-Induced Mechanosignaling and Skeletal Muscle Remodeling.",Frontiers in physiology,2016,73,,10.3389/fphys.2016.00076,26973541.0,PMC4771757,Y,['titin_general'],10.3389/fphys.2016.00076,False,False,False,True,False,False,False,False,False,False,False,False,False
Site-specific phosphorylation of myosin binding protein-C coordinates thin and thick filament activation in cardiac muscle.,Proceedings of the National Academy of Sciences of the United States of America,2019,70,,10.1073/pnas.1903033116,31308242.0,PMC6681757,Y,['thick_filament'],10.1073/pnas.1903033116,False,False,False,False,True,True,False,False,False,False,False,True,False
Thick-Filament Extensibility in Intact Skeletal Muscle.,Biophysical journal,2018,69,,10.1016/j.bpj.2018.08.038,30266320.0,PMC6196444,N,['thick_filament'],10.1016/j.bpj.2018.08.038,False,True,False,False,True,False,False,False,False,False,False,False,False
"Thick Filament Protein Network, Functions, and Disease Association.",Comprehensive Physiology,2018,66,,10.1002/cphy.c170023,29687901.0,PMC6404781,N,['thick_filament'],10.1002/cphy.c170023,False,False,False,True,True,True,False,False,False,False,True,False,False
Interpreting Genetic Variants in Titin in Patients With Muscle Disorders.,JAMA neurology,2018,66,,10.1001/jamaneurol.2017.4899,29435569.0,PMC5885217,N,['titin_general'],10.1001/jamaneurol.2017.4899,False,False,False,False,False,False,False,False,False,False,True,False,False
Truncated titin proteins in dilated cardiomyopathy.,Science translational medicine,2021,66,,10.1126/scitranslmed.abd7287,34731015.0,PMC9236909,N,['titin_general'],10.1126/scitranslmed.abd7287,False,False,False,False,False,False,False,False,False,True,True,False,True
Titin Truncating Variants in Dilated Cardiomyopathy - Prevalence and Genotype-Phenotype Correlations.,PloS one,2017,64,,10.1371/journal.pone.0169007,28045975.0,PMC5207678,Y,['titin_general'],10.1371/journal.pone.0169007,False,False,False,False,False,False,False,False,False,True,True,False,False
Tampering with springs: phosphorylation of titin affecting the mechanical function of cardiomyocytes.,Biophysical reviews,2017,64,,10.1007/s12551-017-0263-9,28510118.0,PMC5498327,Y,['titin_general'],10.1007/s12551-017-0263-9,False,True,False,False,False,False,True,False,False,True,False,True,False
Cronos Titin Is Expressed in Human Cardiomyocytes and Necessary for Normal Sarcomere Function.,Circulation,2019,64,,10.1161/circulationaha.119.039521,31587567.0,PMC6911360,N,['titin_general'],10.1161/circulationaha.119.039521,False,False,False,False,False,False,False,False,False,True,True,False,True
"Combination of Whole Genome Sequencing, Linkage, and Functional Studies Implicates a Missense Mutation in Titin as a Cause of Autosomal Dominant Cardiomyopathy With Features of Left Ventricular Noncompaction.",Circulation. Cardiovascular genetics,2016,64,,10.1161/circgenetics.116.001431,27625337.0,PMC5068189,N,['titin_general'],10.1161/circgenetics.116.001431,False,False,True,False,False,False,False,False,False,True,True,False,False
Truncating Titin (TTN) Variants in Chemotherapy-Induced Cardiomyopathy.,Journal of cardiac failure,2017,63,,10.1016/j.cardfail.2017.03.003,28315399.0,,N,['titin_general'],10.1016/j.cardfail.2017.03.003,False,False,False,False,False,False,False,False,False,True,True,False,False
The Work of Titin Protein Folding as a Major Driver in Muscle Contraction.,Annual review of physiology,2018,60,,10.1146/annurev-physiol-021317-121254,29433413.0,PMC5957538,N,['titin_general'],10.1146/annurev-physiol-021317-121254,True,False,False,False,False,False,False,False,False,False,False,False,False
The Mechanical Power of Titin Folding.,Cell reports,2019,59,,10.1016/j.celrep.2019.04.046,31067467.0,PMC6937205,Y,['titin_general'],10.1016/j.celrep.2019.04.046,False,False,False,False,False,False,False,False,False,False,False,False,False
Truncating Variants in Titin Independently Predict Early Arrhythmias in Patients With Dilated Cardiomyopathy.,Journal of the American College of Cardiology,2017,59,,10.1016/j.jacc.2017.03.530,28494986.0,PMC5423712,Y,['titin_general'],10.1016/j.jacc.2017.03.530,False,False,False,False,False,False,False,False,False,True,True,False,False
The complexity of titin splicing pattern in human adult skeletal muscles.,Skeletal muscle,2018,59,,10.1186/s13395-018-0156-z,29598826.0,PMC5874998,Y,['titin_general'],10.1186/s13395-018-0156-z,False,False,False,False,False,False,False,False,True,False,False,False,True
Decreased force enhancement in skeletal muscle sarcomeres with a deletion in titin.,The Journal of experimental biology,2016,57,,10.1242/jeb.132027,26944495.0,,N,['titin_general'],10.1242/jeb.132027,False,False,False,False,True,False,True,False,False,False,False,False,False
Thick Filament Mechano-Sensing in Skeletal and Cardiac Muscles: A Common Mechanism Able to Adapt the Energetic Cost of the Contraction to the Task.,Frontiers in physiology,2018,57,,10.3389/fphys.2018.00736,29962967.0,PMC6010558,Y,['thick_filament'],10.3389/fphys.2018.00736,False,False,False,False,True,True,False,True,False,True,True,False,False
Maintenance of sarcomeric integrity in adult muscle cells crucially depends on Z-disc anchored titin.,Nature communications,2020,56,,10.1038/s41467-020-18131-2,32900999.0,PMC7478974,Y,"['titin_general', 'zdisc']",10.1038/s41467-020-18131-2,False,False,True,False,True,False,False,False,True,False,False,False,True
The increase in non-cross-bridge forces after stretch of activated striated muscle is related to titin isoforms.,American journal of physiology. Cell physiology,2016,55,,10.1152/ajpcell.00156.2015,26405100.0,PMC4698450,N,['titin_general'],10.1152/ajpcell.00156.2015,False,False,False,False,False,True,True,False,False,False,False,False,True
Three-dimensional stochastic model of actin-myosin binding in the sarcomere lattice.,The Journal of general physiology,2016,55,,10.1085/jgp.201611608,27864330.0,PMC5129740,Y,['sarcomere_architecture'],10.1085/jgp.201611608,False,False,False,False,True,True,False,False,False,False,False,False,False
Titin mutations and muscle disease.,Pflugers Archiv : European journal of physiology,2019,55,,10.1007/s00424-019-02272-5,30919088.0,PMC6481931,N,['titin_general'],10.1007/s00424-019-02272-5,False,False,True,True,False,False,False,False,False,True,True,False,False
Titin-based mechanosensing modulates muscle hypertrophy.,"Journal of cachexia, sarcopenia and muscle",2018,54,,10.1002/jcsm.12319,29978560.0,PMC6204599,Y,['titin_general'],10.1002/jcsm.12319,False,True,False,False,False,False,False,False,True,False,False,False,True
Establishment of a highly sensitive sandwich ELISA for the N-terminal fragment of titin in urine.,Scientific reports,2016,54,,10.1038/srep39375,27991570.0,PMC5171804,Y,['titin_general'],10.1038/srep39375,False,False,False,False,False,False,False,False,False,False,True,False,False
"Posttranslational modifications of titin from cardiac muscle: how, where, and what for?",The FEBS journal,2019,53,,10.1111/febs.14854,30989819.0,PMC6850032,Y,['titin_general'],10.1111/febs.14854,False,True,False,False,False,False,False,False,False,True,False,True,False
Stress-dependent activation of myosin in the heart requires thin filament activation and thick filament mechanosensing.,Proceedings of the National Academy of Sciences of the United States of America,2021,51,,10.1073/pnas.2023706118,33850019.0,PMC8072254,Y,['thick_filament'],10.1073/pnas.2023706118,False,False,False,False,True,True,True,False,True,False,False,True,False
Regulation of titin-based cardiac stiffness by unfolded domain oxidation (UnDOx).,Proceedings of the National Academy of Sciences of the United States of America,2020,50,,10.1073/pnas.2004900117,32929035.0,PMC7533878,Y,"['titin_general', 'titin_mechanics', 'titin_structure_domain']",10.1073/pnas.2004900117,True,False,False,False,False,False,True,False,False,False,False,True,False
Elasticity of the Transition State Leading to an Unexpected Mechanical Stabilization of Titin Immunoglobulin Domains.,Angewandte Chemie (International ed. in English),2017,50,,10.1002/anie.201700411,28394039.0,,N,"['titin_general', 'titin_mechanics']",10.1002/anie.201700411,True,False,False,False,False,False,False,False,False,False,False,False,False
The role of titin and extracellular matrix remodelling in heart failure with preserved ejection fraction.,Netherlands heart journal : monthly journal of the Netherlands Society of Cardiology and the Netherlands Heart Foundation,2016,50,,10.1007/s12471-016-0812-z,26886920.0,PMC4796057,Y,['titin_general'],10.1007/s12471-016-0812-z,False,False,False,False,False,False,False,False,False,True,False,True,False
Skip residues modulate the structural properties of the myosin rod and guide thick filament assembly.,Proceedings of the National Academy of Sciences of the United States of America,2015,49,,10.1073/pnas.1505813112,26150528.0,PMC4517226,N,['thick_filament'],10.1073/pnas.1505813112,False,False,False,False,True,True,False,False,False,False,True,False,False
Metformin improves diastolic function in an HFpEF-like mouse model by increasing titin compliance.,The Journal of general physiology,2019,49,,10.1085/jgp.201812259,30567709.0,PMC6314384,Y,['titin_general'],10.1085/jgp.201812259,False,True,False,False,False,False,False,False,True,True,False,True,False
Titin: A Tunable Spring in Active Muscle.,"Physiology (Bethesda, Md.)",2020,48,,10.1152/physiol.00036.2019,32293234.0,,N,"['titin_general', 'titin_mechanics']",10.1152/physiol.00036.2019,False,True,False,False,False,False,False,False,True,False,False,False,False
Molecular-scale visualization of sarcomere contraction within native cardiomyocytes.,Nature communications,2021,48,,10.1038/s41467-021-24049-0,34215727.0,PMC8253822,Y,['sarcomere_architecture'],10.1038/s41467-021-24049-0,False,False,False,False,True,True,False,True,False,False,False,False,False
Graded titin cleavage progressively reduces tension and uncovers the source of A-band stability in contracting muscle.,eLife,2020,48,,10.7554/elife.64107,33357376.0,PMC7781594,Y,['titin_general'],10.7554/elife.64107,False,True,True,False,True,True,True,False,False,False,False,False,False
A missense variant in the titin gene in Doberman pinscher dogs with familial dilated cardiomyopathy and sudden cardiac death.,Human genetics,2019,46,,10.1007/s00439-019-01973-2,30715562.0,,N,['titin_general'],10.1007/s00439-019-01973-2,False,False,False,False,False,False,False,False,False,True,True,False,True
Relevance of Titin Missense and Non-Frameshifting Insertions/Deletions Variants in Dilated Cardiomyopathy.,Scientific reports,2019,46,,10.1038/s41598-019-39911-x,30858397.0,PMC6412046,Y,['titin_general'],10.1038/s41598-019-39911-x,False,False,False,False,False,False,False,False,False,True,True,False,True
Association of Titin-Truncating Genetic Variants With Life-threatening Cardiac Arrhythmias in Patients With Dilated Cardiomyopathy and Implanted Defibrillators.,JAMA network open,2019,46,,10.1001/jamanetworkopen.2019.6520,31251381.0,PMC6604081,Y,['titin_general'],10.1001/jamanetworkopen.2019.6520,False,False,False,False,False,False,False,False,False,True,True,False,False
Genetic epidemiology of titin-truncating variants in the etiology of dilated cardiomyopathy.,Biophysical reviews,2017,46,,10.1007/s12551-017-0265-7,28510119.0,PMC5498329,Y,['titin_general'],10.1007/s12551-017-0265-7,False,False,False,False,False,False,False,False,False,True,True,False,False
Deconstructing sarcomeric structure-function relations in titin-BioID knock-in mice.,Nature communications,2020,46,,10.1038/s41467-020-16929-8,32561764.0,PMC7305127,Y,"['titin_general', 'titin_structure_domain']",10.1038/s41467-020-16929-8,False,False,True,False,True,False,True,False,False,False,False,False,False
"Titin antibodies in ""seronegative"" myasthenia gravis--A new role for an old antigen.",Journal of neuroimmunology,2016,46,,10.1016/j.jneuroim.2016.01.018,26943968.0,,N,['titin_general'],10.1016/j.jneuroim.2016.01.018,False,False,False,False,False,False,False,False,False,False,True,False,False
The Role of Z-disc Proteins in Myopathy and Cardiomyopathy.,International journal of molecular sciences,2021,45,,10.3390/ijms22063058,33802723.0,PMC8002584,Y,['zdisc'],10.3390/ijms22063058,False,False,True,False,False,True,False,False,False,True,True,False,True
Relevance of truncating titin mutations in dilated cardiomyopathy.,Clinical genetics,2016,45,,10.1111/cge.12741,26777568.0,,N,['titin_general'],10.1111/cge.12741,False,False,False,False,False,False,False,False,False,True,True,False,False
"Titin force in muscle cells alters lattice order, thick and thin filament protein formation.",Proceedings of the National Academy of Sciences of the United States of America,2022,45,,10.1073/pnas.2209441119,36409887.0,PMC9860331,Y,['titin_general'],10.1073/pnas.2209441119,False,False,False,False,True,True,False,True,False,False,False,False,False
Functional abnormalities in induced Pluripotent Stem Cell-derived cardiomyocytes generated from titin-mutated patients with dilated cardiomyopathy.,PloS one,2018,44,,10.1371/journal.pone.0205719,30332462.0,PMC6192629,Y,['titin_general'],10.1371/journal.pone.0205719,False,False,False,False,False,False,False,False,False,True,True,False,False
Broad Genetic Testing in a Clinical Setting Uncovers a High Prevalence of Titin Loss-of-Function Variants in Very Early Onset Atrial Fibrillation.,Circulation. Genomic and precision medicine,2019,44,,10.1161/circgen.119.002713,31638414.0,PMC10626994,N,['titin_general'],10.1161/circgen.119.002713,False,False,False,False,False,False,False,False,False,False,False,False,False
A-Band Titin Truncation in Zebrafish Causes Dilated Cardiomyopathy and Hemodynamic Stress Intolerance.,Circulation. Genomic and precision medicine,2018,44,,10.1161/circgen.118.002135,30354343.0,,N,['titin_general'],10.1161/circgen.118.002135,False,False,False,False,False,False,False,False,False,True,True,False,False
Deleting Full Length Titin Versus the Titin M-Band Region Leads to Differential Mechanosignaling and Cardiac Phenotypes.,Circulation,2019,43,,10.1161/circulationaha.118.037588,30700140.0,PMC6453709,N,"['mband', 'titin_general']",10.1161/circulationaha.118.037588,False,False,True,True,False,False,False,False,True,True,True,False,False
Hypertrophic cardiomyopathy mutations in the calponin-homology domain of ACTN2 affect actin binding and cardiomyocyte Z-disc incorporation.,The Biochemical journal,2016,43,,10.1042/bcj20160421,27287556.0,PMC4980809,Y,['zdisc'],10.1042/bcj20160421,False,False,True,False,False,False,False,True,False,True,True,False,True
The Rapidly Evolving Role of Titin in Cardiac Physiology and Cardiomyopathy.,The Canadian journal of cardiology,2015,43,,10.1016/j.cjca.2015.08.016,26518445.0,,N,['titin_general'],10.1016/j.cjca.2015.08.016,False,False,False,False,False,False,False,False,True,True,True,True,True
Diagnostic and clinical significance of the titin fragment in urine of Duchenne muscular dystrophy patients.,Clinica chimica acta; international journal of clinical chemistry,2018,43,,10.1016/j.cca.2017.11.024,29175173.0,,N,['titin_general'],10.1016/j.cca.2017.11.024,False,False,False,False,False,False,False,False,False,False,True,False,False
α-Actinin/titin interaction: A dynamic and mechanically stable cluster of bonds in the muscle Z-disk.,Proceedings of the National Academy of Sciences of the United States of America,2017,42,,10.1073/pnas.1612681114,28096424.0,PMC5293040,N,"['titin_general', 'zdisc']",10.1073/pnas.1612681114,False,False,True,False,False,False,False,False,False,False,False,False,False
Filamin actin-binding and titin-binding fulfill distinct functions in Z-disc cohesion.,PLoS genetics,2017,42,,10.1371/journal.pgen.1006880,28732005.0,PMC5521747,Y,"['titin_general', 'zdisc']",10.1371/journal.pgen.1006880,False,False,True,True,True,True,False,False,False,False,True,False,False
Modulation of Titin-Based Stiffness in Hypertrophic Cardiomyopathy via Protein Kinase D.,Frontiers in physiology,2020,40,,10.3389/fphys.2020.00240,32351396.0,PMC7174613,Y,"['titin_general', 'titin_mechanics']",10.3389/fphys.2020.00240,False,True,True,True,False,False,False,False,False,True,True,True,False
Protein phosphatase 5 regulates titin phosphorylation and function at a sarcomere-associated mechanosensor complex in cardiomyocytes.,Nature communications,2018,40,,10.1038/s41467-017-02483-3,29343782.0,PMC5772059,Y,['titin_general'],10.1038/s41467-017-02483-3,False,False,False,False,False,False,True,False,True,False,False,True,False
