component,quantity,value,units,year,doi,title
denervated hemidiaphragm mass change (Ttn^ΔIAjxn),hypertrophy response exaggeration,18 ± 8,%,2018,10.1002/jcsm.12319,Titin-based mechanosensing modulates muscle hypertrophy.
UDD treatment duration,time period,6,days,2018,10.1002/jcsm.12319,Titin-based mechanosensing modulates muscle hypertrophy.
titin I27 domain,force range for non-monotonic unfolding,< 100,pN,2017,10.1002/anie.201700411,Elasticity of the Transition State Leading to an Unexpected Mechanical Stabilization of Titin Immunoglobulin Domains.
titin I27 domain,slowest unfolding rate force,22,pN,2017,10.1002/anie.201700411,Elasticity of the Transition State Leading to an Unexpected Mechanical Stabilization of Titin Immunoglobulin Domains.
titin immunoglobulin domains,force range studied by AFM,> 100,pN,2017,10.1002/anie.201700411,Elasticity of the Transition State Leading to an Unexpected Mechanical Stabilization of Titin Immunoglobulin Domains.
myosin rod coiled-coil,number of skip residues,4,count,2015,10.1073/pnas.1505813112,Skip residues modulate the structural properties of the myosin rod and guide thick filament assembly.
titin,sarcomere span,Z-disk to M-band,structural position,2019,10.1161/circulationaha.118.037588,Deleting Full Length Titin Versus the Titin M-Band Region Leads to Differential Mechanosignaling and Cardiac Phenotypes.
skeletal muscle,lethality age,2,weeks,2019,10.1161/circulationaha.118.037588,Deleting Full Length Titin Versus the Titin M-Band Region Leads to Differential Mechanosignaling and Cardiac Phenotypes.
thick filament,"axial periodicity (shorter, myosin helix)",43.1,nm,2021,10.1085/jgp.202012713,Dependence of thick filament structure in relaxed mammalian skeletal muscle on temperature and interfilament spacing.
thick filament,axial periodicity (titin super-repeat associated),45.5,nm,2021,10.1085/jgp.202012713,Dependence of thick filament structure in relaxed mammalian skeletal muscle on temperature and interfilament spacing.
filament lattice,compression (Dextran-induced),5,%,2021,10.1085/jgp.202012713,Dependence of thick filament structure in relaxed mammalian skeletal muscle on temperature and interfilament spacing.
myofiber,diameter threshold,20,μm,2018,10.1637/11766-110217-reg.1,The Effect of the Wooden Breast Myopathy on Sarcomere Structure and Organization.
Molecular dynamics simulation,trajectory duration,50,ns,2017,10.1080/07391102.2016.1166456,Influence of V54M mutation in giant muscle protein titin: a computational screening and molecular dynamics approach.
titin UN2A three-helix bundle,length,45,residues,2021,10.1016/j.jmb.2021.166901,Molecular Characterisation of Titin N2A and Its Binding of CARP Reveals a Titin/Actin Cross-linking Mechanism.
titin domains,axial spacing,4,nm,2020,10.1016/j.jmb.2020.06.025,The Axial Alignment of Titin on the Muscle Thick Filament Supports Its Role as a Molecular Ruler.
myosin binding protein-C,number of stripes,9,stripes,2020,10.1016/j.jmb.2020.06.025,The Axial Alignment of Titin on the Muscle Thick Filament Supports Its Role as a Molecular Ruler.
accessory protein stripes,total count,11,stripes,2020,10.1016/j.jmb.2020.06.025,The Axial Alignment of Titin on the Muscle Thick Filament Supports Its Role as a Molecular Ruler.
myosin heads,levels per half filament,49,levels,2020,10.1016/j.jmb.2020.06.025,The Axial Alignment of Titin on the Muscle Thick Filament Supports Its Role as a Molecular Ruler.
titin fibronectin domains,number per myosin head level,2-3,domains,2020,10.1016/j.jmb.2020.06.025,The Axial Alignment of Titin on the Muscle Thick Filament Supports Its Role as a Molecular Ruler.
NEBL gene,coding exons,28,count,2016,10.5114/aoms.2016.59250,Mutations in NEBL encoding the cardiac Z-disk protein nebulette are associated with various cardiomyopathies.
NEBL mutations,identified in patient cohort,6,count,2016,10.5114/aoms.2016.59250,Mutations in NEBL encoding the cardiac Z-disk protein nebulette are associated with various cardiomyopathies.
patients with NEBL mutations,total,7,count,2016,10.5114/aoms.2016.59250,Mutations in NEBL encoding the cardiac Z-disk protein nebulette are associated with various cardiomyopathies.
NEBL mutation frequency,in cardiomyopathy patients,1.8,%,2016,10.5114/aoms.2016.59250,Mutations in NEBL encoding the cardiac Z-disk protein nebulette are associated with various cardiomyopathies.
control individuals,Caucasian unaffected,320,count,2016,10.5114/aoms.2016.59250,Mutations in NEBL encoding the cardiac Z-disk protein nebulette are associated with various cardiomyopathies.
blood donors,Caucasian without heart disease,192,count,2016,10.5114/aoms.2016.59250,Mutations in NEBL encoding the cardiac Z-disk protein nebulette are associated with various cardiomyopathies.
total patients analyzed,study cohort,389,count,2016,10.5114/aoms.2016.59250,Mutations in NEBL encoding the cardiac Z-disk protein nebulette are associated with various cardiomyopathies.
sarcomere,length range,1.6–3.25,µm,2018,10.1093/icb/icy055,A Spatially Explicit Model Shows How Titin Stiffness Modulates Muscle Mechanics and Energetics.
sarcomere,length (descending limb threshold),2.5,µm,2018,10.1093/icb/icy055,A Spatially Explicit Model Shows How Titin Stiffness Modulates Muscle Mechanics and Energetics.
sarcomere,length (maximum force test),3.0,µm,2018,10.1093/icb/icy055,A Spatially Explicit Model Shows How Titin Stiffness Modulates Muscle Mechanics and Energetics.
thick filament system (4-filament),"maximum force at SL 3.0 µm, low titin stiffness",103.2 ± 2,pN,2018,10.1093/icb/icy055,A Spatially Explicit Model Shows How Titin Stiffness Modulates Muscle Mechanics and Energetics.
thick filament system (4-filament),"maximum force at SL 3.0 µm, high titin stiffness",58.8 ± 1,pN,2018,10.1093/icb/icy055,A Spatially Explicit Model Shows How Titin Stiffness Modulates Muscle Mechanics and Energetics.
muscle contraction,"efficiency at SL 3.0 µm, low titin stiffness",13.9 ± 0.4,pN/ATP,2018,10.1093/icb/icy055,A Spatially Explicit Model Shows How Titin Stiffness Modulates Muscle Mechanics and Energetics.
muscle contraction,"efficiency at SL 3.0 µm, high titin stiffness",7.0 ± 0.3,pN/ATP,2018,10.1093/icb/icy055,A Spatially Explicit Model Shows How Titin Stiffness Modulates Muscle Mechanics and Energetics.
actin filament terminal region,length devoid of α-actinin links,5-7,nm,2015,10.1016/j.jmb.2015.08.018,Three-Dimensional Structure of Vertebrate Muscle Z-Band: The Small-Square Lattice Z-Band in Rat Cardiac Muscle.
Z-band,number of layers of links,4-6,layers,2015,10.1016/j.jmb.2015.08.018,Three-Dimensional Structure of Vertebrate Muscle Z-Band: The Small-Square Lattice Z-Band in Rat Cardiac Muscle.
thin filament length (TFL),length difference between right and left atrium,0.05,μm,2016,10.1016/j.yjmcc.2016.04.013,Thin filament length in the cardiac sarcomere varies with sarcomere length but is independent of titin and nebulin.
titin spring region,length increase in heterozygous Rbm20(ΔRRM) mice,500,kDa,2016,10.1016/j.yjmcc.2016.04.013,Thin filament length in the cardiac sarcomere varies with sarcomere length but is independent of titin and nebulin.
titin spring region,length increase in homozygous Rbm20(ΔRRM) mice,1000,kDa,2016,10.1016/j.yjmcc.2016.04.013,Thin filament length in the cardiac sarcomere varies with sarcomere length but is independent of titin and nebulin.
thin filament length (TFL),increase per sarcomere length change,0.1,μm per 0.35 μm SL,2016,10.1016/j.yjmcc.2016.04.013,Thin filament length in the cardiac sarcomere varies with sarcomere length but is independent of titin and nebulin.
thin filament length (TFL),maximum length at maximum sarcomere length,1.05,μm,2016,10.1016/j.yjmcc.2016.04.013,Thin filament length in the cardiac sarcomere varies with sarcomere length but is independent of titin and nebulin.
sarcomere length (SL),length at TFL maximum,3.0,μm,2016,10.1016/j.yjmcc.2016.04.013,Thin filament length in the cardiac sarcomere varies with sarcomere length but is independent of titin and nebulin.
thick filament,axial repeat period,429,Å,2024,10.1073/pnas.2311883121,Structure of mavacamten-free human cardiac thick filaments within the sarcomere by cryoelectron tomography.
thick filament,number of myosin head crowns per repeat,3,count,2024,10.1073/pnas.2311883121,Structure of mavacamten-free human cardiac thick filaments within the sarcomere by cryoelectron tomography.
N2A-Us (unique sequence),length,104,residues,2020,10.3389/fphys.2020.00173,Single-Molecule Force Spectroscopy on the N2A Element of Titin: Effects of Phosphorylation and CARP.
N2A-Us,persistence length,0.35,nm,2020,10.3389/fphys.2020.00173,Single-Molecule Force Spectroscopy on the N2A Element of Titin: Effects of Phosphorylation and CARP.
N2A-Us,contour length,39,nm,2020,10.3389/fphys.2020.00173,Single-Molecule Force Spectroscopy on the N2A Element of Titin: Effects of Phosphorylation and CARP.
N2A element,passive force reduction by N2A-Us compliance,1.4,%,2020,10.3389/fphys.2020.00173,Single-Molecule Force Spectroscopy on the N2A Element of Titin: Effects of Phosphorylation and CARP.
N2A element,additional passive force reduction by CARP,0.3,%,2020,10.3389/fphys.2020.00173,Single-Molecule Force Spectroscopy on the N2A Element of Titin: Effects of Phosphorylation and CARP.
α-actinin cross-link orientation,angle from actin filament axes,25,degrees,2019,10.1073/pnas.1902235116,Three-dimensional structure of the basketweave Z-band in midshipman fish sonic muscle.
Knee extensor MVIC force,diurnal difference,67,N,2020,10.3390/proteomes8030022,Diurnal Differences in Human Muscle Isometric Force In Vivo Are Associated with Differential Phosphorylation of Sarcomeric M-Band Proteins.
Knee extensor MVIC force,diurnal difference percentage,10.2,%,2020,10.3390/proteomes8030022,Diurnal Differences in Human Muscle Isometric Force In Vivo Are Associated with Differential Phosphorylation of Sarcomeric M-Band Proteins.
2D gel analysis,proteoforms analyzed,122,count,2020,10.3390/proteomes8030022,Diurnal Differences in Human Muscle Isometric Force In Vivo Are Associated with Differential Phosphorylation of Sarcomeric M-Band Proteins.
2D gel analysis,significant diurnal differences,6,count,2020,10.3390/proteomes8030022,Diurnal Differences in Human Muscle Isometric Force In Vivo Are Associated with Differential Phosphorylation of Sarcomeric M-Band Proteins.
Phosphopeptide analysis,phosphopeptides identified,1693,count,2020,10.3390/proteomes8030022,Diurnal Differences in Human Muscle Isometric Force In Vivo Are Associated with Differential Phosphorylation of Sarcomeric M-Band Proteins.
Phosphopeptide analysis,phosphopeptides more phosphorylated in morning,140,count,2020,10.3390/proteomes8030022,Diurnal Differences in Human Muscle Isometric Force In Vivo Are Associated with Differential Phosphorylation of Sarcomeric M-Band Proteins.
Phosphorylated proteins,proteins with morning-elevated phosphopeptides,104,count,2020,10.3390/proteomes8030022,Diurnal Differences in Human Muscle Isometric Force In Vivo Are Associated with Differential Phosphorylation of Sarcomeric M-Band Proteins.
N2A-IS region,amino acid length,117,amino acids,2017,10.1016/j.bbapap.2016.10.003,The insertion sequence of the N2A region of titin exists in an extended structure with helical characteristics.
N2A-IS protein,α-helical structure content,13,%,2017,10.1016/j.bbapap.2016.10.003,The insertion sequence of the N2A region of titin exists in an extended structure with helical characteristics.
smooth muscle titin (SMT),molecular weight,500,kDa,2016,10.1042/bsr20160066,Smooth muscle titin forms in vitro amyloid aggregates.
titin amyloid aggregates,hydrodynamic radius (Rh),700–4500,nm,2016,10.1042/bsr20160066,Smooth muscle titin forms in vitro amyloid aggregates.
initial titin aggregates,hydrodynamic radius (Rh),700,nm,2016,10.1042/bsr20160066,Smooth muscle titin forms in vitro amyloid aggregates.
titin aggregation,time to initial aggregate formation,20,min,2016,10.1042/bsr20160066,Smooth muscle titin forms in vitro amyloid aggregates.
titin/MHC ratio,relative abundance white vs red,1.3,fold higher in white muscle,2018,10.1155/2018/5816875,Analysis of Titin in Red and White Muscles: Crucial Role on Muscle Contractions Using a Fish Model.
titin immunoglobulin domains,total count,169,domains,2022,10.1016/j.csbj.2022.09.034,Pairwise sequence similarity mapping with PaSiMap: Reclassification of immunoglobulin domains from titin as case study.
SMT(Gly) aggregates - spherical subunits,diameter,300-500,nm,2018,10.1080/07391102.2017.1348988,Different amyloid aggregation of smooth muscles titin in vitro.
SMT(Gly) aggregates - spherical subunits,height,35,nm,2018,10.1080/07391102.2017.1348988,Different amyloid aggregation of smooth muscles titin in vitro.
SMT(KCl) aggregates - sponge-like strands,height,8-10,nm,2018,10.1080/07391102.2017.1348988,Different amyloid aggregation of smooth muscles titin in vitro.
Thioflavine T fluorescence intensity ratio,SMT(Gly) vs SMT(KCl),~3,fold,2018,10.1080/07391102.2017.1348988,Different amyloid aggregation of smooth muscles titin in vitro.
cardiomyocyte work output,work production ratio HET vs WT,55,% of WT,2019,10.1113/jp277985,End-diastolic force pre-activates cardiomyocytes and determines contractile force: role of titin and calcium.
diastolic calcium concentration (low),diastolic [Ca2+],1,nm,2019,10.1113/jp277985,End-diastolic force pre-activates cardiomyocytes and determines contractile force: role of titin and calcium.
diastolic calcium concentration (high),diastolic [Ca2+],80,nm,2019,10.1113/jp277985,End-diastolic force pre-activates cardiomyocytes and determines contractile force: role of titin and calcium.
activating calcium concentration,transient [Ca2+] exposure,2,µm,2019,10.1113/jp277985,End-diastolic force pre-activates cardiomyocytes and determines contractile force: role of titin and calcium.
force response to diastolic [Ca2+],force increase from 1 to 80 nm diastolic [Ca2+],2,fold,2019,10.1113/jp277985,End-diastolic force pre-activates cardiomyocytes and determines contractile force: role of titin and calcium.
myofibril,initial sarcomere length (passive),2.4,µm,2018,10.1152/ajpcell.00183.2017,Does partial titin degradation affect sarcomere length nonuniformities and force in active and passive myofibrils?
myofibril,sarcomere length after passive stretch 1,3.4,µm,2018,10.1152/ajpcell.00183.2017,Does partial titin degradation affect sarcomere length nonuniformities and force in active and passive myofibrils?
myofibril,sarcomere length after passive stretch 2,4.4,µm,2018,10.1152/ajpcell.00183.2017,Does partial titin degradation affect sarcomere length nonuniformities and force in active and passive myofibrils?
myofibril,initial sarcomere length (active),2.8,µm,2018,10.1152/ajpcell.00183.2017,Does partial titin degradation affect sarcomere length nonuniformities and force in active and passive myofibrils?
myofibril,active stretch magnitude,1.0,µm/sarcomere,2018,10.1152/ajpcell.00183.2017,Does partial titin degradation affect sarcomere length nonuniformities and force in active and passive myofibrils?
sarcomere,length,2.5,μm,2016,10.1016/j.bpj.2016.09.024,Myosin MgADP Release Rate Decreases as Sarcomere Length Increases in Skinned Rat Soleus Muscle Fibers.
sarcomere,length,2.0,μm,2016,10.1016/j.bpj.2016.09.024,Myosin MgADP Release Rate Decreases as Sarcomere Length Increases in Skinned Rat Soleus Muscle Fibers.
dextran T-500,osmotic compression concentration,4,%,2016,10.1016/j.bpj.2016.09.024,Myosin MgADP Release Rate Decreases as Sarcomere Length Increases in Skinned Rat Soleus Muscle Fibers.
MgADP release rate,rate at 2.5 μm sarcomere length (no dextran),11.2 ± 0.5,s⁻¹,2016,10.1016/j.bpj.2016.09.024,Myosin MgADP Release Rate Decreases as Sarcomere Length Increases in Skinned Rat Soleus Muscle Fibers.
MgADP release rate,rate at 2.0 μm sarcomere length (no dextran),13.5 ± 0.7,s⁻¹,2016,10.1016/j.bpj.2016.09.024,Myosin MgADP Release Rate Decreases as Sarcomere Length Increases in Skinned Rat Soleus Muscle Fibers.
MgADP release rate,rate at 2.5 μm sarcomere length (with 4% dextran),10.1 ± 0.6,s⁻¹,2016,10.1016/j.bpj.2016.09.024,Myosin MgADP Release Rate Decreases as Sarcomere Length Increases in Skinned Rat Soleus Muscle Fibers.
MgADP release rate,rate at 2.0 μm sarcomere length (with 4% dextran),12.9 ± 0.5,s⁻¹,2016,10.1016/j.bpj.2016.09.024,Myosin MgADP Release Rate Decreases as Sarcomere Length Increases in Skinned Rat Soleus Muscle Fibers.
cross-bridge detachment rate,slowing without dextran,15,%,2016,10.1016/j.bpj.2016.09.024,Myosin MgADP Release Rate Decreases as Sarcomere Length Increases in Skinned Rat Soleus Muscle Fibers.
cross-bridge detachment rate,slowing with dextran,20,%,2016,10.1016/j.bpj.2016.09.024,Myosin MgADP Release Rate Decreases as Sarcomere Length Increases in Skinned Rat Soleus Muscle Fibers.
force-pCa relationship,pCa₅₀ at 2.5 μm sarcomere length,5.68 ± 0.01,dimensionless,2016,10.1016/j.bpj.2016.09.024,Myosin MgADP Release Rate Decreases as Sarcomere Length Increases in Skinned Rat Soleus Muscle Fibers.
force-pCa relationship,pCa₅₀ at 2.0 μm sarcomere length,5.60 ± 0.01,dimensionless,2016,10.1016/j.bpj.2016.09.024,Myosin MgADP Release Rate Decreases as Sarcomere Length Increases in Skinned Rat Soleus Muscle Fibers.
Z-band titin splicing variants,number of new variants discovered,4,count,2018,10.1002/jcb.27328,Z-band and M-band titin splicing and regulation by RNA binding motif 20 in striated muscles.
Z repeats (Zr) in skeletal muscle,number of new Z repeats detected,3,count,2018,10.1002/jcb.27328,Z-band and M-band titin splicing and regulation by RNA binding motif 20 in striated muscles.
M-band titin splicing variants,number of new variants discovered,2,count,2018,10.1002/jcb.27328,Z-band and M-band titin splicing and regulation by RNA binding motif 20 in striated muscles.
M-band exon 363,exon number with alternative 3' splice site,363,exon,2018,10.1002/jcb.27328,Z-band and M-band titin splicing and regulation by RNA binding motif 20 in striated muscles.
M-band intron 362,intron number with alternative 5' splice site,362,intron,2018,10.1002/jcb.27328,Z-band and M-band titin splicing and regulation by RNA binding motif 20 in striated muscles.
extensor digitorum longus muscle,plantar flexion angle (long position),170,degrees,2024,10.1002/ar.25240,The effect of neuromuscular electrical stimulation applied at different muscle lengths on muscle architecture and sarcomere morphology in rats.
extensor digitorum longus muscle,plantar flexion angle (medium position),90,degrees,2024,10.1002/ar.25240,The effect of neuromuscular electrical stimulation applied at different muscle lengths on muscle architecture and sarcomere morphology in rats.
NMES intervention,duration,8,weeks,2024,10.1002/ar.25240,The effect of neuromuscular electrical stimulation applied at different muscle lengths on muscle architecture and sarcomere morphology in rats.
NMES intervention,daily application time,10,minutes/day,2024,10.1002/ar.25240,The effect of neuromuscular electrical stimulation applied at different muscle lengths on muscle architecture and sarcomere morphology in rats.
NMES intervention,weekly frequency,3,days/week,2024,10.1002/ar.25240,The effect of neuromuscular electrical stimulation applied at different muscle lengths on muscle architecture and sarcomere morphology in rats.
titin C-zone,super-repeat count,11,dimensionless,2022,10.1016/j.yjmcc.2022.01.002,Shortening the thick filament by partial deletion of titin's C-zone alters cardiac function by reducing the operating sarcomere length range.
titin C-zone deletion,super-repeats removed,2,dimensionless,2022,10.1016/j.yjmcc.2022.01.002,Shortening the thick filament by partial deletion of titin's C-zone alters cardiac function by reducing the operating sarcomere length range.
MLC2 phosphorylation level,phosphorylation percentage in normal heart,30-40,% of total MLC2,2019,10.1038/s41598-019-48884-w,Cardiac MLC2 kinase is localized to the Z-disc and interacts with α-actinin2.
cMLCK–α-actinin2 interaction,binding affinity (Kd),13.4 ± 0.1,nM,2019,10.1038/s41598-019-48884-w,Cardiac MLC2 kinase is localized to the Z-disc and interacts with α-actinin2.
sarcomere length,measurement point 1,2.4,μm,2022,10.1152/japplphysiol.00327.2022,Eccentric muscle contraction potentiates titin stiffness-related contractile properties in rat fast-twitch muscles.
sarcomere length,measurement point 2,2.6,μm,2022,10.1152/japplphysiol.00327.2022,Eccentric muscle contraction potentiates titin stiffness-related contractile properties in rat fast-twitch muscles.
sarcomere length,measurement point 3,3.0,μm,2022,10.1152/japplphysiol.00327.2022,Eccentric muscle contraction potentiates titin stiffness-related contractile properties in rat fast-twitch muscles.
eccentric contractions,repetitions,200,count,2022,10.1152/japplphysiol.00327.2022,Eccentric muscle contraction potentiates titin stiffness-related contractile properties in rat fast-twitch muscles.
myosin heads,repeating organization spacing,430,Å,2025,10.1016/j.bpj.2025.09.019,Annotating the x-ray diffraction pattern of vertebrate striated muscle.
titin domains,domain length,42,Å,2025,10.1016/j.bpj.2025.09.019,Annotating the x-ray diffraction pattern of vertebrate striated muscle.
titin domains,number per repeat,11,count,2025,10.1016/j.bpj.2025.09.019,Annotating the x-ray diffraction pattern of vertebrate striated muscle.
M11 layer line,spacing,39,Å,2025,10.1016/j.bpj.2025.09.019,Annotating the x-ray diffraction pattern of vertebrate striated muscle.
thick filament,repeat unit,430,Å,2025,10.1016/j.bpj.2025.09.019,Annotating the x-ray diffraction pattern of vertebrate striated muscle.
sarcomere,length,2,μm,2024,10.1371/journal.pone.0300348,An optimized approach to study nanoscale sarcomere structure utilizing super-resolution microscopy with nanobodies.
z-disc,width (confocal microscopy),353,nm,2024,10.1371/journal.pone.0300348,An optimized approach to study nanoscale sarcomere structure utilizing super-resolution microscopy with nanobodies.
z-disc,width (super-resolution microscopy),62,nm,2024,10.1371/journal.pone.0300348,An optimized approach to study nanoscale sarcomere structure utilizing super-resolution microscopy with nanobodies.
thick filament,resolution,6,Å,2022,10.3390/ijms24010377,"Structure of the Flight Muscle Thick Filament from the Bumble Bee, <i>Bombus ignitus</i>, at 6 Å Resolution."
mechanical ventilation duration,exposure time,8,hours,2022,10.3390/ijms232415689,"Rbm20&lt;sup&gt;ΔRRM&lt;/sup&gt; Mice, Expressing a Titin Isoform with Lower Stiffness, Are Protected from Mechanical Ventilation-Induced Diaphragm Weakness."
thick filament cryo-EM reconstruction,resolution,5.5,Å,2021,10.3390/biology10070613,Contiguity and Structural Impacts of a Non-Myosin Protein within the Thick Filament Myosin Layers.
red density (flightin) linkage,myosin dimers linked in layer,4,dimers,2021,10.3390/biology10070613,Contiguity and Structural Impacts of a Non-Myosin Protein within the Thick Filament Myosin Layers.
red density (flightin) linkage,myosin dimers linked in neighboring layer,1,dimer,2021,10.3390/biology10070613,Contiguity and Structural Impacts of a Non-Myosin Protein within the Thick Filament Myosin Layers.
LMM binding region,helical turns spanned,10,turns,2021,10.3390/biology10070613,Contiguity and Structural Impacts of a Non-Myosin Protein within the Thick Filament Myosin Layers.
sarcomere,length at rest (mean),2.6,μm,2022,10.1109/tbme.2021.3089739,Structure-Function Relationships in Muscle Fibres: MyoRobot Online Assessment of Muscle Fibre Elasticity and Sarcomere Length Distributions.
sarcomere,length at 140% stretch (mean),3.4,μm,2022,10.1109/tbme.2021.3089739,Structure-Function Relationships in Muscle Fibres: MyoRobot Online Assessment of Muscle Fibre Elasticity and Sarcomere Length Distributions.
sarcomere,length variability at rest,5,%,2022,10.1109/tbme.2021.3089739,Structure-Function Relationships in Muscle Fibres: MyoRobot Online Assessment of Muscle Fibre Elasticity and Sarcomere Length Distributions.
muscle fibre,stretch rate,1,μm/s,2022,10.1109/tbme.2021.3089739,Structure-Function Relationships in Muscle Fibres: MyoRobot Online Assessment of Muscle Fibre Elasticity and Sarcomere Length Distributions.
